,Seq,Sex,Age,Race,Face,Prop
0,1223,male,child,white,smiling,NoProp
1,1224,male,child,white,serious,NoProp
2,1225,male,child,white,smiling,NoProp
3,1226,male,child,white,smiling,NoProp
4,1227,male,child,white,serious,NoProp
5,1229,male,adult,white,serious,NoProp
6,1230,male,child,white,serious,NoProp
7,1231,male,child,white,serious,NoProp
8,1233,male,child,white,serious,NoProp
9,1234,male,child,white,serious,NoProp
10,1235,male,child,white,serious,NoProp
11,1236,male,child,white,serious,NoProp
12,1237,male,child,white,serious,NoProp
13,1238,male,child,white,serious,NoProp
14,1239,male,child,white,serious,NoProp
15,1240,male,child,white,serious,NoProp
16,1241,male,child,white,serious,NoProp
17,1242,male,child,white,serious,NoProp
18,1243,male,child,white,serious,NoProp
19,1244,male,child,white,serious,NoProp
20,1245,male,child,white,serious,NoProp
21,1246,male,child,white,serious,NoProp
22,1247,male,child,white,serious,NoProp
23,1248,male,child,white,serious,NoProp
24,1249,male,child,white,funny,NoProp
25,1250,male,child,white,serious,NoProp
26,1251,male,child,white,serious,NoProp
27,1252,female,child,white,smiling,NoProp
28,1253,male,child,white,serious,NoProp
29,1254,male,child,white,serious,NoProp
30,1255,male,child,white,serious,NoProp
31,1256,female,child,white,serious,NoProp
32,1257,female,child,white,serious,NoProp
33,1258,male,child,white,smiling,NoProp
34,1259,male,child,white,smiling,NoProp
35,1260,male,child,white,smiling,NoProp
36,1261,male,child,white,smiling,NoProp
37,1262,female,child,white,smiling,NoProp
38,1263,male,child,white,smiling,NoProp
39,1264,male,child,white,smiling,NoProp
40,1265,male,child,white,smiling,NoProp
41,1266,male,child,white,smiling,NoProp
42,1267,male,child,white,serious,NoProp
43,1268,male,child,white,smiling,NoProp
44,1269,male,teen,white,serious,NoProp
45,1270,male,teen,white,serious,NoProp
46,1271,male,child,white,smiling,NoProp
47,1272,male,child,white,smiling,NoProp
48,1273,male,child,white,serious,NoProp
49,1274,male,child,white,serious,NoProp
50,1275,male,child,white,smiling,NoProp
51,1276,male,child,white,funny,NoProp
52,1277,male,child,white,smiling,NoProp
53,1278,male,child,white,smiling,NoProp
54,1279,male,child,white,serious,NoProp
55,1280,male,child,white,serious,NoProp
56,1281,male,child,white,smiling,NoProp
57,1282,male,child,white,smiling,NoProp
58,1283,female,adult,white,smiling,NoProp
59,1284,male,child,white,smiling,NoProp
60,1285,female,teen,white,smiling,NoProp
61,1286,female,adult,white,smiling,NoProp
62,1287,male,child,white,smiling,NoProp
63,1288,male,child,white,smiling,NoProp
64,1289,male,child,white,smiling,NoProp
65,1290,male,child,white,smiling,glasses
66,1291,male,child,white,smiling,glasses
67,1292,male,child,white,serious,glasses
68,1293,male,child,white,smiling,NoProp
69,1294,male,child,white,smiling,NoProp
70,1295,male,child,white,smiling,NoProp
71,1296,male,child,white,serious,NoProp
72,1297,female,child,white,serious,NoProp
73,1298,female,teen,hispanic,smiling,NoProp
74,1299,male,child,white,smiling,NoProp
75,1300,male,child,white,serious,NoProp
76,1301,male,child,white,smiling,NoProp
77,1302,male,child,white,smiling,NoProp
78,1303,female,child,white,serious,NoProp
79,1304,male,teen,white,serious,NoProp
80,1305,male,teen,white,serious,NoProp
81,1306,male,child,white,serious,NoProp
82,1307,male,child,white,serious,NoProp
83,1308,male,teen,white,serious,NoProp
84,1309,female,teen,white,smiling,NoProp
85,1310,male,child,white,serious,NoProp
86,1311,male,child,white,serious,NoProp
87,1312,male,teen,white,smiling,NoProp
88,1313,male,child,white,smiling,NoProp
89,1314,male,child,white,serious,NoProp
90,1315,male,child,white,serious,NoProp
91,1316,male,child,white,serious,NoProp
92,1317,male,teen,white,serious,NoProp
93,1318,male,child,white,serious,NoProp
94,1319,male,child,white,serious,NoProp
95,1320,male,child,white,serious,NoProp
96,1321,male,child,white,smiling,NoProp
97,1322,female,teen,white,serious,glasses moustache
98,1323,male,child,white,smiling,NoProp
99,1324,male,child,white,serious,NoProp
100,1325,male,child,white,smiling,NoProp
101,1326,male,child,white,serious,NoProp
102,1327,male,child,white,serious,NoProp
103,1328,male,child,white,smiling,NoProp
104,1329,male,child,white,serious,NoProp
105,1330,male,child,white,serious,NoProp
106,1331,male,child,white,serious,NoProp
107,1332,male,child,white,serious,NoProp
108,1333,male,child,white,smiling,NoProp
109,1334,male,child,asian,smiling,NoProp
110,1335,female,adult,white,serious,NoProp
111,1336,male,child,white,serious,NoProp
112,1337,male,child,white,smiling,NoProp
113,1338,male,child,white,serious,NoProp
114,1339,male,child,white,serious,NoProp
115,1340,male,child,white,serious,NoProp
116,1341,male,child,white,serious,NoProp
117,1342,male,child,white,smiling,NoProp
118,1343,female,child,white,smiling,NoProp
119,1344,male,child,white,smiling,NoProp
120,1345,female,child,white,smiling,NoProp
121,1346,male,child,white,smiling,NoProp
122,1347,male,child,white,smiling,NoProp
123,1348,male,child,white,funny,NoProp
124,1349,male,child,white,smiling,NoProp
125,1350,male,child,white,smiling,NoProp
126,1351,male,child,white,serious,NoProp
127,1352,female,child,white,serious,hat bandana
128,1353,female,child,white,serious,hat
129,1354,female,child,white,smiling,hat
130,1355,female,teen,white,smiling,NoProp
131,1356,male,child,white,serious,NoProp
132,1357,male,child,white,serious,NoProp
133,1358,male,child,white,smiling,NoProp
134,1359,male,child,white,smiling,NoProp
135,1360,male,child,black,smiling,glasses
136,1361,male,child,black,serious,hat
137,1362,male,child,black,serious,NoProp
